start,end,"duration [rev]",description,"CCD row",origin
1651.192576,1651.195551,0.002975,Payload data handling unit update,5,ObjectLog
1651.192732,1651.195510,0.002778,Payload data handling unit update,7,ObjectLog
1651.192804,1651.195662,0.002858,Payload data handling unit update,6,ObjectLog
1651.192823,1651.195601,0.002778,Payload data handling unit update,5,ObjectLog
1651.192852,1651.195723,0.002871,Payload data handling unit update,4,ObjectLog
1651.192862,1651.195640,0.002779,Payload data handling unit update,7,ObjectLog
1651.192901,1651.195791,0.002890,Payload data handling unit update,5,ObjectLog
1651.192943,1651.195969,0.003025,Payload data handling unit update,7,ObjectLog
1651.192945,1651.195733,0.002788,Payload data handling unit update,6,ObjectLog
1651.193001,1651.196057,0.003056,Payload data handling unit update,4,ObjectLog
1651.193011,1651.195836,0.002825,Payload data handling unit update,6,ObjectLog
1651.193078,1651.195961,0.002884,Payload data handling unit update,5,ObjectLog
1651.193136,1651.196029,0.002893,Payload data handling unit update,6,ObjectLog
1651.193241,1651.196019,0.002778,Payload data handling unit update,7,ObjectLog
1651.193299,1651.196127,0.002829,Payload data handling unit update,5,ObjectLog
1651.193306,1651.196091,0.002785,Payload data handling unit update,6,ObjectLog
1651.193321,1651.196099,0.002778,Payload data handling unit update,7,ObjectLog
1651.193332,1651.196267,0.002935,Payload data handling unit update,4,ObjectLog
1651.193384,1651.196162,0.002778,Payload data handling unit update,7,ObjectLog
1651.193392,1651.196170,0.002778,Payload data handling unit update,6,ObjectLog
1651.193410,1651.196238,0.002828,Payload data handling unit update,5,ObjectLog
1651.193442,1651.196300,0.002859,Payload data handling unit update,7,ObjectLog
1651.193443,1651.196258,0.002814,Payload data handling unit update,6,ObjectLog
1651.193512,1651.196378,0.002866,Payload data handling unit update,5,ObjectLog
1651.193529,1651.196394,0.002865,Payload data handling unit update,6,ObjectLog
1651.193576,1651.196369,0.002793,Payload data handling unit update,4,ObjectLog
1651.193598,1651.196390,0.002792,Payload data handling unit update,7,ObjectLog
1651.193686,1651.196524,0.002838,Payload data handling unit update,5,ObjectLog
1651.193700,1651.196478,0.002778,Payload data handling unit update,7,ObjectLog
1651.193702,1651.196555,0.002854,Payload data handling unit update,4,ObjectLog
